crop_name,state_code,janela_coberta_pct,tendencia_kg_ha,desvio_previsto_pct,previsao_kg_ha,estimativa_conab_kg_ha,dif_vs_conab_pct
MILHO 2A SAFRA,BA,98.039216,2882.6647,4.155228,3002.445978,3900.0,-23.014206
MILHO 2A SAFRA,GO,98.342541,6702.962193,1.909942,6830.984851,5420.01,26.032698
MILHO 2A SAFRA,MG,98.039216,6155.168276,5.255516,6478.654101,5565.1,16.415772
MILHO 2A SAFRA,MS,81.521739,5597.405615,,,5861.98,
MILHO 2A SAFRA,MT,98.039216,7386.309893,11.038337,8201.635657,7154.0,14.644054
MILHO 2A SAFRA,PR,77.777778,5957.727914,,,5971.0,
SOJA,BA,100.0,3951.555775,-1.083445,3908.742824,4259.99,-8.245258
SOJA,GO,100.0,3869.095134,-1.561437,3808.681633,3909.99,-2.591013
SOJA,MG,100.0,3849.09631,-1.194282,3803.127236,3910.01,-2.733568
SOJA,MS,100.0,3524.881497,-6.645758,3290.626405,3603.0,-8.669819
SOJA,MT,100.0,3703.702139,-1.213334,3658.763862,3969.0,-7.816481
SOJA,PR,100.0,3593.698021,-12.470314,3145.5526,3778.0,-16.74027
SOJA,RS,100.0,2886.365561,-22.885169,2225.815937,2769.01,-19.616905
