crop_name,state_code,harvest_year,grid_cells,days_in_window,precipitation_mm,temp_mean_c,temp_max_c,dry_days,growing_degree_days,normal_precipitation_mm,precipitation_anomaly_mm,precipitation_anomaly_z,normal_temp_mean_c,temp_anomaly_c,temp_anomaly_z,normal_dry_days,dry_days_anomaly,dry_days_anomaly_z,max_dry_spell_days,max_dry_spell_worst_cell,normal_max_dry_spell_days,dry_spell_anomaly_days,yield_kg_ha,planted_area_ha,production_t,yield_trend_kg_ha,yield_residual_kg_ha,yield_residual_pct
MILHO 2A SAFRA,BA,1992,6,153,128.527146,22.514608,32.25,125.084612,1971.540466,286.92541,-158.398264,-1.257794,23.588,-1.073392,-1.068765,112.8361,12.248512,0.941961,87.945666,93,69.052602,18.893065,300.0,295000.0,88500.0,111.800432,188.199568,1.683353
MILHO 2A SAFRA,BA,1993,6,153,140.255175,23.09088,34.18,123.650495,2068.267908,286.92541,-146.670235,-1.164665,23.588,-0.497121,-0.494978,112.8361,10.814395,0.831671,72.913566,87,69.052602,3.860964,150.0,90000.0,13500.0,197.052357,-47.052357,-0.238781
MILHO 2A SAFRA,BA,1994,6,153,369.458165,22.722813,32.69,108.297465,2006.058453,286.92541,82.532754,0.655368,23.588,-0.865187,-0.861458,112.8361,-4.538635,-0.34904,43.850249,64,69.052602,-25.202353,831.66,109300.0,90900.0,282.304282,549.355718,1.94597
MILHO 2A SAFRA,BA,1995,6,153,469.918056,22.648233,32.43,78.247274,1994.005703,286.92541,182.992646,1.453091,23.588,-0.939767,-0.935716,112.8361,-34.588826,-2.660023,53.03545,67,69.052602,-16.017152,829.91,214000.0,177600.0,367.556208,462.353792,1.257913
MILHO 2A SAFRA,BA,1996,6,153,281.525904,23.224344,34.67,97.902347,2086.897853,286.92541,-5.399506,-0.042876,23.588,-0.363656,-0.362088,112.8361,-14.933753,-1.148467,67.544955,70,69.052602,-1.507647,1119.16,214000.0,239500.0,452.808133,666.351867,1.471599
MILHO 2A SAFRA,BA,1997,6,153,550.533173,21.356304,30.4,96.656759,1807.055043,286.92541,263.607762,2.093231,23.588,-2.231696,-2.222076,112.8361,-16.179341,-1.244258,51.556301,53,69.052602,-17.496301,760.0,310000.0,235600.0,538.060058,221.939942,0.412482
MILHO 2A SAFRA,BA,1998,6,153,129.105065,25.228465,37.67,123.507826,2399.555674,286.92541,-157.820345,-1.253205,23.588,1.640465,1.633393,112.8361,10.671726,0.8207,82.393696,86,69.052602,13.341094,612.9,207700.0,127300.0,623.311983,-10.411983,-0.016704
MILHO 2A SAFRA,BA,1999,6,153,185.044674,24.045894,34.39,123.2864,2215.412912,286.92541,-101.880736,-0.809005,23.588,0.457894,0.45592,112.8361,10.450301,0.803671,78.387408,83,69.052602,9.334806,799.94,319900.0,255900.0,708.563908,91.376092,0.12896
MILHO 2A SAFRA,BA,2000,6,153,254.356592,22.750921,34.02,114.580161,2004.768488,286.92541,-32.568818,-0.258619,23.588,-0.83708,-0.833471,112.8361,1.744061,0.134125,86.079499,99,69.052602,17.026897,840.08,303900.0,255300.0,793.815833,46.264167,0.058281
MILHO 2A SAFRA,BA,2001,6,153,272.298376,23.727634,35.2,114.280188,2158.253024,286.92541,-14.627034,-0.116149,23.588,0.139634,0.139032,112.8361,1.444088,0.111056,64.298787,77,69.052602,-4.753815,429.95,280500.0,120600.0,879.067759,-449.117759,-0.510902
MILHO 2A SAFRA,BA,2002,6,153,187.357523,24.295902,36.54,122.679721,2252.2477,286.92541,-99.567887,-0.790639,23.588,0.707901,0.70485,112.8361,9.843621,0.757015,62.804151,69,69.052602,-6.248451,819.9,322600.0,264500.0,964.319684,-144.419684,-0.149763
MILHO 2A SAFRA,BA,2003,6,153,294.297781,23.386017,34.2,104.121388,2122.460651,286.92541,7.37237,0.058542,23.588,-0.201983,-0.201112,112.8361,-8.714712,-0.670197,64.075753,65,69.052602,-4.976849,799.87,317800.0,254200.0,1049.571609,-249.701609,-0.237908
MILHO 2A SAFRA,BA,2004,6,153,334.930093,22.2654,32.86,111.306304,1945.604091,286.92541,48.004683,0.381191,23.588,-1.322601,-1.3169,112.8361,-1.529796,-0.117648,77.143804,95,69.052602,8.091203,734.09,298600.0,219200.0,1134.823534,-400.733534,-0.353124
MILHO 2A SAFRA,BA,2005,6,153,351.185474,23.250187,33.25,105.120281,2090.891499,286.92541,64.260064,0.51027,23.588,-0.337814,-0.336357,112.8361,-7.715819,-0.593378,66.663866,67,69.052602,-2.388735,1079.91,386700.0,417600.0,1220.075459,-140.165459,-0.114883
MILHO 2A SAFRA,BA,2006,6,153,586.816925,21.904761,34.33,99.662769,1886.0773,286.92541,299.891514,2.38135,23.588,-1.683239,-1.675983,112.8361,-13.173331,-1.013083,76.0,76,69.052602,6.947398,1235.11,382800.0,472800.0,1305.327384,-70.217384,-0.053793
MILHO 2A SAFRA,BA,2007,6,153,155.146585,23.943284,34.88,132.862845,2202.490755,286.92541,-131.778825,-1.046417,23.588,0.355284,0.353752,112.8361,20.026745,1.540139,67.255862,104,69.052602,-1.79674,1244.96,386600.0,481300.0,1390.57931,-145.61931,-0.104718
MILHO 2A SAFRA,BA,2008,6,153,351.644776,22.967809,32.9,105.269087,2052.029742,286.92541,64.719365,0.513917,23.588,-0.620191,-0.617518,112.8361,-7.567013,-0.581934,72.936394,92,69.052602,3.883792,1414.88,353600.0,500300.0,1475.831235,-60.951235,-0.0413
MILHO 2A SAFRA,BA,2009,6,153,448.616552,22.98344,35.93,95.30852,2041.26528,286.92541,161.691141,1.283942,23.588,-0.60456,-0.601954,112.8361,-17.52758,-1.347943,57.663866,58,69.052602,-11.388735,1509.97,305900.0,461900.0,1561.08316,-51.11316,-0.032742
MILHO 2A SAFRA,BA,2010,6,153,284.915239,23.861826,35.77,116.826203,2192.106972,286.92541,-2.010171,-0.015962,23.588,0.273825,0.272645,112.8361,3.990103,0.306855,69.252173,81,69.052602,0.199571,1852.11,355000.0,657500.0,1646.335085,205.774915,0.12499
MILHO 2A SAFRA,BA,2011,6,153,242.817298,23.455467,33.87,113.521106,2130.683636,286.92541,-44.108112,-0.350249,23.588,-0.132533,-0.131962,112.8361,0.685006,0.05268,72.0,72,69.052602,2.947398,1029.05,364900.0,375500.0,1731.58701,-702.53701,-0.405719
MILHO 2A SAFRA,BA,2012,6,153,136.75774,25.083241,36.45,129.327813,2368.265779,286.92541,-150.167671,-1.192437,23.588,1.495241,1.488796,112.8361,16.491713,1.26828,64.018112,65,69.052602,-5.03449,1250.28,176200.0,220300.0,1816.838935,-566.558935,-0.311838
MILHO 2A SAFRA,BA,2013,6,153,297.772683,24.781383,37.56,115.20854,2312.135829,286.92541,10.847273,0.086135,23.588,1.193383,1.188238,112.8361,2.37244,0.18245,59.433513,63,69.052602,-9.619089,2070.84,241400.0,499900.0,1902.090861,168.749139,0.088718
MILHO 2A SAFRA,BA,2014,6,153,268.207468,24.415523,34.69,108.531656,2267.456721,286.92541,-18.717942,-0.148634,23.588,0.827523,0.823956,112.8361,-4.304444,-0.331029,60.676501,66,69.052602,-8.3761,2629.85,268000.0,704800.0,1987.342786,642.507214,0.3233
MILHO 2A SAFRA,BA,2015,6,153,345.517036,24.048142,34.5,104.047008,2209.74398,286.92541,58.591625,0.465259,23.588,0.460142,0.458158,112.8361,-8.789092,-0.675917,86.35815,91,69.052602,17.305548,1811.88,252500.0,457500.0,2072.594711,-260.714711,-0.125791
MILHO 2A SAFRA,BA,2016,6,153,78.836459,25.607441,36.55,140.186477,2446.528711,286.92541,-208.088951,-1.652373,23.588,2.019441,2.010736,112.8361,27.350377,2.103356,69.089088,112,69.052602,0.036486,1988.18,245400.0,487900.0,2157.846636,-169.666636,-0.078628
MILHO 2A SAFRA,BA,2017,6,153,206.73424,24.518072,36.0,124.763438,2281.591092,286.92541,-80.19117,-0.636774,23.588,0.930072,0.926063,112.8361,11.927338,0.917261,72.901823,74,69.052602,3.849221,1918.14,265100.0,508500.0,2243.098561,-324.958561,-0.14487
MILHO 2A SAFRA,BA,2018,6,153,222.733294,24.082203,34.59,119.993391,2222.457783,286.92541,-64.192116,-0.509731,23.588,0.494203,0.492073,112.8361,7.157291,0.550425,91.29748,108,69.052602,22.244878,874.84,230900.0,202000.0,2328.350486,-1453.510486,-0.624266
MILHO 2A SAFRA,BA,2019,6,153,377.939343,24.313807,35.5,110.224177,2252.534113,286.92541,91.013932,0.722715,23.588,0.725806,0.722678,112.8361,-2.611923,-0.200868,67.929524,75,69.052602,-1.123077,1177.49,231000.0,272000.0,2413.602412,-1236.112412,-0.512144
MILHO 2A SAFRA,BA,2020,6,153,367.588062,23.578007,34.18,107.792645,2153.132361,286.92541,80.662652,0.640518,23.588,-0.009993,-0.00995,112.8361,-5.043454,-0.387862,57.019812,66,69.052602,-12.032789,,,,2498.854337,,
MILHO 2A SAFRA,BA,2021,6,153,194.948405,24.455012,38.02,121.486577,2272.778995,286.92541,-91.977005,-0.730362,23.588,0.867012,0.863275,112.8361,8.650477,0.665257,39.208764,60,69.052602,-29.843838,,,,2584.106262,,
MILHO 2A SAFRA,BA,2022,6,153,151.317452,22.973955,34.68,122.765955,2057.221962,286.92541,-135.607958,-1.076823,23.588,-0.614045,-0.611398,112.8361,9.929855,0.763647,39.185931,52,69.052602,-29.866671,3000.0,60000.0,180000.0,2669.358187,330.641813,0.123866
MILHO 2A SAFRA,BA,2023,6,153,173.220885,24.427904,35.75,121.855006,2270.501868,286.92541,-113.704526,-0.902894,23.588,0.839904,0.836284,112.8361,9.018907,0.693591,63.563338,78,69.052602,-5.489263,3180.0,40000.0,127200.0,2754.610112,425.389888,0.154428
MILHO 2A SAFRA,BA,2024,6,153,151.025136,25.54021,38.04,128.499905,2447.576818,286.92541,-135.900274,-1.079144,23.588,1.95221,1.943795,112.8361,15.663805,1.204611,82.927033,110,69.052602,13.874432,3460.0,30000.0,103800.0,2839.862037,620.137963,0.218369
MILHO 2A SAFRA,BA,2025,6,153,199.709948,25.380186,39.1,120.519268,2412.764408,286.92541,-87.215463,-0.692552,23.588,1.792186,1.78446,112.8361,7.683168,0.590867,51.0,51,69.052602,-18.052602,3900.0,50000.0,195000.0,2925.113963,974.886037,0.333281
MILHO 2A SAFRA,BA,2026,6,150,168.205854,25.362102,35.71,118.382696,2366.027763,286.92541,-118.719556,-0.942717,23.588,1.774102,1.766455,112.8361,5.546596,0.426556,76.4475,93,69.052602,7.394898,3900.0,50000.0,195000.0,3010.365888,889.634112,0.295524
MILHO 2A SAFRA,GO,1992,33,182,623.053198,21.242612,33.61,96.019438,2135.842455,543.051301,80.001897,0.875166,21.70058,-0.457968,-0.868945,112.043418,-16.023979,-1.617994,66.844772,86,49.728702,17.116069,2783.33,12000.0,33400.0,2323.377905,459.952095,0.197967
MILHO 2A SAFRA,GO,1993,33,181,571.21614,21.19549,35.7,104.604698,2110.348671,543.051301,28.164839,0.308104,21.70058,-0.50509,-0.958353,112.043418,-7.438719,-0.751112,52.23279,56,49.728702,2.504088,1575.96,44100.0,69500.0,2448.056448,-872.096448,-0.35624
MILHO 2A SAFRA,GO,1994,33,181,594.964751,21.272214,34.87,99.382789,2119.973951,543.051301,51.913449,0.567898,21.70058,-0.428366,-0.812777,112.043418,-12.660628,-1.278386,26.796425,38,49.728702,-22.932277,2394.81,135000.0,323300.0,2572.734992,-177.924992,-0.069158
MILHO 2A SAFRA,GO,1995,33,181,640.909928,21.467646,34.05,99.106281,2165.909624,543.051301,97.858627,1.070506,21.70058,-0.232934,-0.441967,112.043418,-12.937137,-1.306306,45.277264,79,49.728702,-4.451439,2500.58,86500.0,216300.0,2697.413535,-196.833535,-0.072971
MILHO 2A SAFRA,GO,1996,33,182,573.280234,21.664016,35.65,107.249514,2215.350086,543.051301,30.228932,0.330684,21.70058,-0.036564,-0.069375,112.043418,-4.793904,-0.484056,42.690569,70,49.728702,-7.038133,2500.0,129800.0,324500.0,2822.092078,-322.092078,-0.114132
